method,task,policy_id,checkpoint,checkpoint_sha256,checkpoint_bytes
APPL_6_xhigh,unstack_sort,carry_place_clear__h02,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h02/training/last.pt,276649261d0e8e7864fc3eb1e6a510cf40e8061e18c3e8c88d213eb5d78ac0ef,399181409
APPL_6_xhigh,unstack_sort,carry_place_clear__h03,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h03/training/last.pt,203674332fbcb3405ca26572513082214f0cb02166f6a11661cbaddd279f474b,376625025
naive_DP,tray_pack,naive_DP,runs/exp2/current/models/naive_DP/tray_pack/naive_DP/training/last.pt,ba8b7152d864205c9a343bee45fc1c83e5aa5dff021f7023600559892de2a8f2,340239430
SinglePrior_6_xhigh,tray_pack,SinglePrior_6_xhigh,runs/exp2/current/models/SinglePrior_6_xhigh/tray_pack/SinglePrior_6_xhigh/training/last.pt,324f71285531f79ac1ff534b3958d135d1a512904a7c791b6531a3da29f635b3,400715601
APPL_6_xhigh,tray_pack,acquire_block__h01,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h01/training/last.pt,4f0a59f33c4b86164d687be0e0b1aa5a4a012a17db24e07151630ce49bb2ec23,397844881
APPL_6_xhigh,tray_pack,acquire_block__h02,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h02/training/last.pt,f354c86cd2c75802bbc6485d34eea4598857d36afee93cd6b15df80652b46fd2,372303101
APPL_6_xhigh,tray_pack,acquire_block__h03,runs/exp2/current/models/APPL_6_xhigh/tray_pack/acquire_block__h03/training/last.pt,a4ed1e7683327a646621ce42e5aaab2f34c00649668dae01482ce09aceaecd85,400779373
APPL_6_xhigh,tray_pack,deliver_block__h01,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h01/training/last.pt,eade865af6332ccb9f06a31a3d0d79533e854a4ad668239b62c05c6c1f72b20c,392105885
APPL_6_xhigh,tray_pack,deliver_block__h02,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h02/training/last.pt,cb4f85fa8d410ea82b8c9b4666763d8c5e6260965db948165c18fbdb2d2ca709,393548509
APPL_6_xhigh,tray_pack,deliver_block__h03,runs/exp2/current/models/APPL_6_xhigh/tray_pack/deliver_block__h03/training/last.pt,eaeaf5385fbedce257f655d57c7c1f51b50d731ef2b9b914286c4bf9a5ceb84d,374956293
