task,condition,seed,owner,physical_gpu,steps,inference_chunks,actual_process,process_sha256,actual_exit,exit_sha256,physical_plan,plan_sha256
drawer_exchange,ID,6320,supplement,6,5000,625,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/6/drawer_exchange/ID/6320/process.json,b34b338d8ea171bd2e86df97b7400aa215337e7bea9230a0e7c883486fa89d57,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/6/drawer_exchange/ID/6320/process_result.json,1bd3d4f69e4c9c77aad3a2e1bfea411dd872853b3e6df10348c61e1058b39266,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6320/plan.json,9795aa394acc90e465bcc5ceb9d3c91e2635881d410de05484ecfb92cf2072d4
drawer_exchange,ID,6321,supplement,4,5000,625,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6321/process.json,b3c19069b075096f94f408750983a16a55639377ebf80167535b9ba3d693806b,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6321/process_result.json,4f26da5483612a65d65628f0409ee423d488a80ce2b8a948d3366d44895d6e41,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6321/plan.json,5bf19171ddde3b6ef369b4523ad04d11548b19d83d2d7d65dd62e07212c7216e
drawer_exchange,ID,6322,supplement,6,1011,127,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/6/drawer_exchange/ID/6322/process.json,b95bb1326bc2f069a58e096e45d513a2ae5e4de4a55ecbba63c948783413c485,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/6/drawer_exchange/ID/6322/process_result.json,186f61a3a455509c0546a4d1b6155631d5a815f72d4797eae923e21f044b99b3,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6322/plan.json,c0f62a74e83b83e1d56e5bd47b0780ed3c2efb106cb96a97918523ae9adcddd0
drawer_exchange,ID,6323,supplement,6,1008,126,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/6/drawer_exchange/ID/6323/process.json,b1271522873f1c350aece6acea3e99f3b5919b6763fde6b1d6133aff4daade0e,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/6/drawer_exchange/ID/6323/process_result.json,a29d20b6391bc122be85a93d6092a3432f1a7a2810257d783c20d4b45738cfb3,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6323/plan.json,230b35131c5cc96dac56eebcfb28357dcf165522f9b22599aa2c767688b6ce28
drawer_exchange,ID,6324,supplement,6,970,122,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/6/drawer_exchange/ID/6324/process.json,3a89169785bae908568e58db3164742de71ddee9cc98673a23888c2beae7cc35,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/6/drawer_exchange/ID/6324/process_result.json,597ebb79179ab42dc562d68c6991ea0d8a89109d85a6902c1b27fc7b8a0a8cb0,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6324/plan.json,eb941a97d2fc32008a0aab884e18ac152ee7fdf15570eff725787e17d7198e27
drawer_exchange,ID,6325,supplement,4,1018,128,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6325/process.json,57c24eb4b54fd27840ec1f3b2c5d58df239e75b4226b1b62536a7894b24e5319,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6325/process_result.json,901bface575efd198c7d6293beb42d27ab90ff2682b82cf3e51b0a7d78f340e6,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6325/plan.json,8495aa0e7af2aeca900b29371143b643c89d1ed9fb15accf4b6b14d790fb4dd9
drawer_exchange,ID,6326,supplement,4,963,121,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6326/process.json,d4855357d6aa740db8bb0adc1b434c300936c770c76fa92cebc29b26ceaf3c9f,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6326/process_result.json,576a33ee1885bcc5cd3855d12cc902cf6146a4a736ab19843079088b49de0bd4,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6326/plan.json,05d6ee5b2491095906927fd3f41b13c48bf6a389081b1d1331d816b9dc397111
drawer_exchange,ID,6327,supplement,6,999,125,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/6/drawer_exchange/ID/6327/process.json,6f91b1118da70d8fec715c2897c7de09d94ed54a729c45c161627302bc277637,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/6/drawer_exchange/ID/6327/process_result.json,34816a57880b0882b405929a7c89bdf8eb877b960de20423ac99fe0d5de69b2f,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6327/plan.json,b6c5ec48a3e77f36dcd6a668c396a3498a0099c04249b8a670310a143554d94a
drawer_exchange,ID,6328,supplement,4,1008,126,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6328/process.json,d9863b64ae8e81c6484f8476144bb5526c64686734316746bdf49dabb5573a88,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6328/process_result.json,76472d9368355a676ac328cdab8b93397926056f59b8ecde00d4342ffd7f5b20,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6328/plan.json,b58f7b821754b1f7c2595066be09f007a22427cc46c4b62ebda55a91915018d8
drawer_exchange,ID,6329,supplement,6,996,125,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/6/drawer_exchange/ID/6329/process.json,98db8e766882fe3222326eb3360e2d992799626613c8d28f38a721a68d02fc85,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/6/drawer_exchange/ID/6329/process_result.json,fd4b81545ca3beb6108bdbc9e83b2d4b068cf61f836b3b1c24add27bf8e1e90f,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6329/plan.json,8d50b62817ec80d50c80e4359c2642d924ebde1afb274b0736cd2ece705bc723
drawer_exchange,OOD,6400,original,7,5000,625,runs/exp2/single_policy_astra_xhigh/jobs/evaluation/drawer_exchange/OOD/6400/process.json,deba8ab79355124f482775f85176b8824f8d2a00873ae93009c4dbf21f66d7e5,runs/exp2/single_policy_astra_xhigh/jobs/evaluation/drawer_exchange/OOD/6400/process_result.json,545a5277d23aefb3ee5a3e360d35620a24e685aea63a6092096501dc06906238,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/OOD/6400/plan.json,34d38b6e97b7885b81d5789541e02503ac9d9dcdc5b5d73f01d7dc314373f130
drawer_exchange,OOD,6401,original,7,5000,625,runs/exp2/single_policy_astra_xhigh/jobs/evaluation/drawer_exchange/OOD/6401/process.json,1fb7b0cb04dd51250aae4eaab3af1d731d8c5443f2c98a9bc213054c3f7f5b26,runs/exp2/single_policy_astra_xhigh/jobs/evaluation/drawer_exchange/OOD/6401/process_result.json,94f4c4dc7c785ead326ec06e020975af39afd6ddc2599159ec698f319162b664,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/OOD/6401/plan.json,fafdbdd6a5cc9bf463fb72feb394e08bf487ae7a35586c9086190a7d7d31bb2e
drawer_exchange,OOD,6402,original,1,5000,625,runs/exp2/single_policy_astra_xhigh/jobs/evaluation/drawer_exchange/OOD/6402/process.json,58d4d2c0b81d847240edbbb2458100f128a6be3c5ef8bc0b04a2cba4d06043f8,runs/exp2/single_policy_astra_xhigh/jobs/evaluation/drawer_exchange/OOD/6402/process_result.json,5f900a307370b67f5b374a4d363847efb10627c5b0bcea55d4e3e376031c02be,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/OOD/6402/plan.json,e1c0af9d04dff7e122b7e39f0644e76e040cd2ce5a6f516c59386b8b37e20a49
drawer_exchange,OOD,6403,original,0,5000,625,runs/exp2/single_policy_astra_xhigh/jobs/evaluation/drawer_exchange/OOD/6403/process.json,0e818f7b2f96db7fd23dfa842ee9ee19371f769f2564cd594e923a8eacea0ee7,runs/exp2/single_policy_astra_xhigh/jobs/evaluation/drawer_exchange/OOD/6403/process_result.json,bc5ea66fdc274415ddd5652b04ef15e993d90763506af019edad204a23125f48,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/OOD/6403/plan.json,a3937cd897a454b3b14f68b073cbea5107ad7ecba84fc0b75ad5046a31e34624
drawer_exchange,OOD,6404,original,1,5000,625,runs/exp2/single_policy_astra_xhigh/jobs/evaluation/drawer_exchange/OOD/6404/process.json,a19fd33d86beb45a12475576e0f4a201dc674d2d83e7566731be59b0421003b8,runs/exp2/single_policy_astra_xhigh/jobs/evaluation/drawer_exchange/OOD/6404/process_result.json,25f4d878dc94c58324cd8c679604c670a2975482fffabb92f77b44e996c3abb7,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/OOD/6404/plan.json,6777cdaf86171b8c1da3c3b64ab9a10287c403f9e4f49162e6ba77f0a3383d18
