task,method,policy_id,check,passed,confirmed_optimizer_updates,optimizer_update_upper_bound,uncertainty_upper_bound
drawer_exchange,APPL_5_5_high,blue_approach_grasp_lift__h02,runs/exp2/M1_initial_test/policies/blue_approach_grasp_lift/heuristic_02/checks/01,True,2,2,0
drawer_exchange,APPL_5_5_high,blue_approach_grasp_lift__h03,runs/exp2/M1_initial_test/policies/blue_approach_grasp_lift/heuristic_03/checks/00,True,2,2,0
drawer_exchange,APPL_5_5_high,blue_transport_to_drawer__h01,runs/exp2/M1_initial_test/policies/blue_transport_to_drawer/heuristic_01/checks/00,True,2,2,0
drawer_exchange,APPL_5_5_high,blue_transport_to_drawer__h02,runs/exp2/M1_initial_test/policies/blue_transport_to_drawer/heuristic_02/checks/00,True,2,2,0
drawer_exchange,APPL_5_5_high,blue_transport_to_drawer__h03,runs/exp2/M1_initial_test/policies/blue_transport_to_drawer/heuristic_03/checks/00,True,2,2,0
drawer_exchange,APPL_5_5_high,blue_release_retreat_complete__h01,runs/exp2/M1_initial_test/policies/blue_release_retreat_complete/heuristic_01/checks/00,True,2,2,0
drawer_exchange,APPL_5_5_high,blue_release_retreat_complete__h02,runs/exp2/M1_initial_test/policies/blue_release_retreat_complete/heuristic_02/checks/00,True,2,2,0
drawer_exchange,APPL_5_5_high,blue_release_retreat_complete__h03,runs/exp2/M1_initial_test/policies/blue_release_retreat_complete/heuristic_03/checks/00,True,2,2,0
drawer_exchange,APPL_6_xhigh,open_access__h01,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/open_access/heuristic_01/checks/00,True,2,2,0
drawer_exchange,APPL_6_xhigh,open_access__h02,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/open_access/heuristic_02/checks/00,True,2,2,0
drawer_exchange,APPL_6_xhigh,open_access__h03,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/open_access/heuristic_03/checks/00,True,2,2,0
drawer_exchange,APPL_6_xhigh,evacuate_red__h01,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/evacuate_red/heuristic_01/checks/00,True,2,2,0
drawer_exchange,APPL_6_xhigh,evacuate_red__h02,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/evacuate_red/heuristic_02/checks/00,True,2,2,0
drawer_exchange,APPL_6_xhigh,evacuate_red__h03,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/evacuate_red/heuristic_03/checks/00,True,2,2,0
drawer_exchange,APPL_6_xhigh,insert_blue__h01,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/insert_blue/heuristic_01/checks/00,True,2,2,0
drawer_exchange,APPL_6_xhigh,insert_blue__h02,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/insert_blue/heuristic_02/checks/00,True,2,2,0
drawer_exchange,APPL_6_xhigh,insert_blue__h03,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/insert_blue/heuristic_03/checks/00,True,2,2,0
two_block_sort,SinglePrior_6_xhigh,SinglePrior_6_xhigh,runs/exp2/single_policy_astra_xhigh/two_block_sort/policy/checks/00,True,2,2,0
two_block_sort,APPL_5_5_high,acquire_active_block__h01,runs/exp2/M1_scaleup/two_block_sort/policies/acquire_active_block/heuristic_01/checks/00,True,2,2,0
two_block_sort,APPL_5_5_high,acquire_active_block__h02,runs/exp2/M1_scaleup/two_block_sort/policies/acquire_active_block/heuristic_02/checks/00,True,2,2,0
two_block_sort,APPL_5_5_high,acquire_active_block__h03,runs/exp2/M1_scaleup/two_block_sort/policies/acquire_active_block/heuristic_03/checks/00,True,2,2,0
two_block_sort,APPL_5_5_high,deliver_active_block__h01,runs/exp2/M1_scaleup/two_block_sort/policies/deliver_active_block/heuristic_01/checks/00,True,2,2,0
two_block_sort,APPL_5_5_high,deliver_active_block__h02,runs/exp2/M1_scaleup/two_block_sort/policies/deliver_active_block/heuristic_02/checks/00,True,2,2,0
two_block_sort,APPL_5_5_high,deliver_active_block__h03,runs/exp2/M1_scaleup/two_block_sort/policies/deliver_active_block/heuristic_03/checks/00,True,2,2,0
two_block_sort,APPL_6_xhigh,acquire_transport__h01,runs/exp2/M1_astra_xhigh/two_block_sort/policies/acquire_transport/heuristic_01/checks/00,True,2,2,0
two_block_sort,APPL_6_xhigh,acquire_transport__h02,runs/exp2/M1_astra_xhigh/two_block_sort/policies/acquire_transport/heuristic_02/checks/00,False,0,2,2
two_block_sort,APPL_6_xhigh,acquire_transport__h02,runs/exp2/M1_astra_xhigh/two_block_sort/policies/acquire_transport/heuristic_02/checks/01,True,2,2,0
two_block_sort,APPL_6_xhigh,acquire_transport__h03,runs/exp2/M1_astra_xhigh/two_block_sort/policies/acquire_transport/heuristic_03/checks/00,True,2,2,0
two_block_sort,APPL_6_xhigh,deliver_disengage__h01,runs/exp2/M1_astra_xhigh/two_block_sort/policies/deliver_disengage/heuristic_01/checks/00,True,2,2,0
two_block_sort,APPL_6_xhigh,deliver_disengage__h02,runs/exp2/M1_astra_xhigh/two_block_sort/policies/deliver_disengage/heuristic_02/checks/00,True,2,2,0
two_block_sort,APPL_6_xhigh,deliver_disengage__h03,runs/exp2/M1_astra_xhigh/two_block_sort/policies/deliver_disengage/heuristic_03/checks/00,True,2,2,0
buffer_swap,SinglePrior_6_xhigh,SinglePrior_6_xhigh,runs/exp2/single_policy_astra_xhigh/buffer_swap/policy/checks/00,True,2,2,0
