task,condition,method,seed,success,physical_steps,elapsed_seconds,inference_chunks,inference_seconds,policy_invocations,source
drawer_exchange,ID,APPL_6_xhigh,6324,True,995,315.33621535194106,,,7,runs/exp2/M1_astra_xhigh/evaluation_recovery_20260918/drawer_exchange/evaluation/APPL/ID/6324/result.json
drawer_exchange,ID,APPL_6_xhigh,6325,True,1059,294.1346120799426,,,6,runs/exp2/M1_astra_xhigh/evaluation_recovery_20260918/drawer_exchange/evaluation/APPL/ID/6325/result.json
drawer_exchange,ID,APPL_6_xhigh,6326,False,1084,440.89752309198957,,,10,runs/exp2/M1_astra_xhigh/evaluation_recovery_20260918/drawer_exchange/evaluation/APPL/ID/6326/result.json
drawer_exchange,ID,APPL_6_xhigh,6327,False,820,488.7264288860606,,,13,runs/exp2/M1_astra_xhigh/evaluation_recovery_20260918/drawer_exchange/evaluation/APPL/ID/6327/result.json
drawer_exchange,ID,APPL_6_xhigh,6328,False,702,359.11568740499206,,,8,runs/exp2/M1_astra_xhigh/evaluation_recovery_20260918/drawer_exchange/evaluation/APPL/ID/6328/result.json
drawer_exchange,ID,APPL_6_xhigh,6329,False,905,433.2965580159798,,,8,runs/exp2/M1_astra_xhigh/evaluation_recovery_20260918/drawer_exchange/evaluation/APPL/ID/6329/result.json
drawer_exchange,OOD,naive_DP,6400,False,5000,683.9272598230164,625,654.3161353344913,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6400/result.json
drawer_exchange,OOD,naive_DP,6401,False,5000,808.9919183740276,625,765.1461693634046,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6401/result.json
drawer_exchange,OOD,naive_DP,6402,False,5000,845.0634627069812,625,802.1979465712211,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6402/result.json
drawer_exchange,OOD,naive_DP,6403,False,5000,808.9468976190547,625,769.1382470164681,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6403/result.json
drawer_exchange,OOD,naive_DP,6404,False,5000,801.3656468220288,625,762.0114247329184,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6404/result.json
drawer_exchange,OOD,naive_DP,6405,False,5000,788.023907492985,625,746.8014618591405,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6405/result.json
drawer_exchange,OOD,naive_DP,6406,False,5000,842.2084492180147,625,798.562160007772,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6406/result.json
drawer_exchange,OOD,naive_DP,6407,False,5000,841.3467188230134,625,797.2193118667346,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6407/result.json
drawer_exchange,OOD,naive_DP,6408,False,5000,772.7507359900046,625,736.9200684836251,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6408/result.json
drawer_exchange,OOD,naive_DP,6409,False,5000,722.3749238159508,625,691.6409305669949,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6409/result.json
