completed,condition,episode_root,first_goals,first_success,method,reused_original_result,seed,selected_attempt,status,steps,success,success_by_1500,success_by_3000,success_by_5000,task,original_episode_root
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30208,"{""blue_at_goal"": 625, ""red_at_goal"": 263, ""success"": 625}",625,APPL_6_xhigh,False,30208,original,succeeded,625,True,True,True,True,unstack_sort,
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30209,"{""blue_at_goal"": 1272, ""red_at_goal"": 274, ""success"": 1272}",1272,APPL_6_xhigh,False,30209,original,succeeded,1272,True,True,True,True,unstack_sort,
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30210,{},,APPL_6_xhigh,False,30210,original,agent_finished,704,False,False,False,False,unstack_sort,
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30211,"{""blue_at_goal"": 662, ""red_at_goal"": 235, ""success"": 662}",662,APPL_6_xhigh,False,30211,original,succeeded,662,True,True,True,True,unstack_sort,
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30212,"{""red_at_goal"": 253}",,APPL_6_xhigh,False,30212,original,agent_finished,1144,False,False,False,False,unstack_sort,
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30213,"{""blue_at_goal"": 643, ""red_at_goal"": 259, ""success"": 643}",643,APPL_6_xhigh,False,30213,original,succeeded,643,True,True,True,True,unstack_sort,
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30214,"{""blue_at_goal"": 612, ""red_at_goal"": 264, ""success"": 612}",612,APPL_6_xhigh,False,30214,original,succeeded,612,True,True,True,True,unstack_sort,
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30215,"{""blue_at_goal"": 678, ""red_at_goal"": 253, ""success"": 678}",678,APPL_6_xhigh,False,30215,original,succeeded,678,True,True,True,True,unstack_sort,
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30216,"{""blue_at_goal"": 646, ""red_at_goal"": 242, ""success"": 646}",646,APPL_6_xhigh,False,30216,original,succeeded,646,True,True,True,True,unstack_sort,
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30217,{},,APPL_6_xhigh,False,30217,original,agent_finished,1000,False,False,False,False,unstack_sort,
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30218,"{""blue_at_goal"": 642, ""red_at_goal"": 254, ""success"": 642}",642,APPL_6_xhigh,False,30218,original,succeeded,642,True,True,True,True,unstack_sort,
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30219,"{""red_at_goal"": 229}",,APPL_6_xhigh,False,30219,original,agent_finished,1358,False,False,False,False,unstack_sort,
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30220,"{""blue_at_goal"": 621, ""red_at_goal"": 243, ""success"": 621}",621,APPL_6_xhigh,False,30220,original,succeeded,621,True,True,True,True,unstack_sort,
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/evaluation_followup_20260918/unstack_sort/evaluation/APPL/OOD/30221,{},,APPL_6_xhigh,False,30221,authorized_followup_20260918,agent_finished,771,False,False,False,False,unstack_sort,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30221
