stage,task,method,policy_id,model,effort,source_request,source_request_sha256,bundled_request_contract,selected_contract_sha256
policy_design,two_block_sort,APPL_5_5_high,deliver_active_block__h01,gpt-5.5,high,runs/exp2/M1_scaleup/two_block_sort/policies/deliver_active_block/heuristic_01/design/api/0001.request.json,678b37fb7e2aa4b01d66552346da48dfa73f48edac42c7740693d4047e495bff,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,two_block_sort,APPL_5_5_high,deliver_active_block__h02,gpt-5.5,high,runs/exp2/M1_scaleup/two_block_sort/policies/deliver_active_block/heuristic_02/design/api/0001.request.json,6fb0aee6b9c3209123510301d046444faaaa3ed4030a5ed2c74db18839886a1c,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,two_block_sort,APPL_5_5_high,deliver_active_block__h03,gpt-5.5,high,runs/exp2/M1_scaleup/two_block_sort/policies/deliver_active_block/heuristic_03/design/api/0001.request.json,cbd7cb155f1d9712b17ca837793b6ea87692f17012c9f234ebcdc6d7eac7c1b0,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,two_block_sort,APPL_6_xhigh,acquire_transport__h01,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/two_block_sort/policies/acquire_transport/heuristic_01/design/api/0001.request.json,f10d1dd4132699309a0ad62af894773a06b05b56c7d0bdb72ac6a1d8617ebc91,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,two_block_sort,APPL_6_xhigh,acquire_transport__h02,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/two_block_sort/policies/acquire_transport/heuristic_02/design/api/0001.request.json,10ce0b0607dbaf226a09e4f376f73b96d30ce2578a6c61135dfff09355a0962a,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,two_block_sort,APPL_6_xhigh,acquire_transport__h03,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/two_block_sort/policies/acquire_transport/heuristic_03/design/api/0001.request.json,db94714622903e77e88422aefac99c88fbdb98435acd46ad59312b2333f97e1e,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,two_block_sort,APPL_6_xhigh,deliver_disengage__h01,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/two_block_sort/policies/deliver_disengage/heuristic_01/design/api/0001.request.json,21a19a6ed0e7ee14611257eea0fea619eaada14e670835e3c6567829af79ffb5,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,two_block_sort,APPL_6_xhigh,deliver_disengage__h02,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/two_block_sort/policies/deliver_disengage/heuristic_02/design/api/0001.request.json,581aee9befa8c3e72e2b1aee8c88259895518d4149b22604e3760edd23b216cf,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,two_block_sort,APPL_6_xhigh,deliver_disengage__h03,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/two_block_sort/policies/deliver_disengage/heuristic_03/design/api/0001.request.json,12a95a915fdc0b9ec415e1d5e0fa05de7e09d81cb622ca80776306747ad35123,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,buffer_swap,SinglePrior_6_xhigh,SinglePrior_6_xhigh,gpt-6-astra,xhigh,runs/exp2/single_policy_astra_xhigh/buffer_swap/policy/design/api/0001.request.json,585bacadd9193f85cde5a5b2535afa37257685aa2492d2e9b499fb74bcc1a11d,prompts/4507f4af8c10eb8053d42145ce636c8b0d11e5a7e5d846d7b930579ef185c9d8.json,4507f4af8c10eb8053d42145ce636c8b0d11e5a7e5d846d7b930579ef185c9d8
